food;ingredients;category;kitchen;food_url
Коктейль «Белый русский»;жирные сливки, водка, кофейный ликер;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-belyy-russkiy--69299
Апельсиновый глинтвейн;красное сухое вино, апельсиновый сок, палочки корицы, коричневый сахар, апельсины;Напитки;Французская кухня;https://eda.ru/recepty/napitki/apelsinovij-glintvejn-20380
Коктейль «Белый русский»;жирные сливки, водка, кофейный ликер;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-belyy-russkiy--69299
Домашний цитрусовый лимонад;вода, лимон, лайм, апельсины, свежая мята, сахар;Напитки;Мексиканская кухня;https://eda.ru/recepty/napitki/domashnij-citrusovij-limonad-28447
Коктейль «Бьянко тоник»;белый вермут , сок лайма, тоник, лайм;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-byanko-tonik-69296
Клюквенный морс;клюква, вода, сахар;Напитки;Русская кухня;https://eda.ru/recepty/napitki/klyukvennyy-mors-93968
Банановый коктейль с кефиром и медом;кефир, бананы, мед, печенье;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bananovij-koktejl-s-kefirom-i-medom-19127
Смузи из манго;тайское манго, сгущенное молоко, лед, сахар;Напитки;Вьетнамская кухня;https://eda.ru/recepty/napitki/smuzi-iz-mango-136756
Огуречный лимонад с лаймом;лайм, огурцы, апельсины, мед, розмарин, вода;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/ogurechnij-limonad-s-lajmom-22386
Коктейль «Кровавая Мэри» Дениса Темного;водка, томатный сок, лимонный сок, вустерширский соус, соль, молотый черный перец, сельдерей;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-krovavaya-meri-denisa-temnogo-126160
Кофейный коктейль;молоко, лед, шоколад, черный кофе, вода, сахар;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/kofejnij-koktejl-17025
Компот из сухофруктов и брусники;сухофрукты, сахар, вода, свежемороженая брусника;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kompot-iz-suhofruktov-i-brusniki-51792
Имбирный чай с медом и лимоном;лимон, мед, вода, имбирь;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/imbirnij-chaj-s-medom-i-limonom-16561
Имбирно-цитрусовый чай;апельсины, мед, черный чай, имбирь, корица;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/imbirno-citrusovij-chaj-27000
