food;ingredients;category;kitchen;food_url
Салат «Столичный»;куриные окорочка, картофель, морковь, маринованные огурцы, куриное яйцо, зеленый горошек, зеленый лук, майонез, душистый перец горошком, лавровый лист, репчатый лук, соль, молотый черный перец;Салаты;Советская кухня;https://eda.ru/recepty/salaty/salat-stolichnyy-151642
Салат с моцареллой и руколой;красные помидоры черри , сыр моцарелла, рукола, оливковое масло, бальзамический уксус;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-s-mocarelloj-rukoloj-24403
Салат «Цезарь» с куриной грудкой;куриное филе, помидоры, сухарики, салат айсберг, соус «сырный цезарь», тертый сыр пармезан , оливковое масло, лимон, смесь итальянских трав;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-cezar-s-kurinoj-grudkoj-25756
Салат из селедки и апельсинов;филе сельди, морковь, апельсины, подсолнечное масло, белокочанная капуста, петрушка, соль, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-iz-seledki-i-apelsinov-46495
Теплый салат с картофелем и осьминогом;стебель сельдерея с листьями, щупальце осьминога, морковь, репчатый лук, лимон, молодой картофель, оливки, вяленые помидоры, помидоры черри, чеснок, каперсы, рукола, петрушка, листья базилика, белое сухое вино, оливковое масло, лавровый лист, соль, молотый черный перец;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/teplij-salat-s-kartofelem-osminogom-30370
Салат из шпината;шпинат, лимонный сок, толченые грецкие орехи, чеснок, соевый соус;Салаты;Паназиатская кухня;https://eda.ru/recepty/salaty/salat-iz-shpinata-17523
Слоеный салат с курицей и шампиньонами;картофель, куриное филе, репчатый лук, куриное яйцо, консервированные шампиньоны, морковь, зелень, майонез;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/sloenij-salat-s-kuricej-shampinonami-29041
Картофельный салат с яйцами и тунцом;картофель, молоко, консервированный тунец в масле, зеленый лук, куриное яйцо, петрушка, белый винный уксус, подсолнечное масло, соль, молотый черный перец;Салаты;Французская кухня;https://eda.ru/recepty/salaty/kartofelnij-salat-s-jajcami-tuncom-15661
Теплый салат из зеленой фасоли;помидоры черри, кунжутные семечки, зеленая стручковая фасоль, оливковое масло, лимон, зеленый базилик , морская соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/teplij-salat-iz-zelenoj-fasoli-20412
Салат «Цезарь» с чесночным майонезом;помидоры, куриное филе, перепелиное яйцо, салат айсберг, сухарики, сыр, чеснок, майонез;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-cezar-s-chesnochnim-majonezom-19435
Зеленый салат с соусом шисо;шпинат, салат пак-чой, салат романо, латук, огурцы, цветная капуста, семена чиа, гранола, авокадо, укроп, зеленый лук, оливковое масло extra virgin, растительное масло, соус шисо, лимонный сок;Салаты;Китайская кухня;https://eda.ru/recepty/salaty/zelenyy-salat-s-sousom-shiso-69073
Шопский салат с перцем чили;сладкий перец, помидоры, огурцы, сыр брынза, репчатый лук, оливковое масло, соль, рубленая петрушка, уксус, перец чили;Салаты;Болгарская кухня;https://eda.ru/recepty/salaty/salat-po-shopski-21067
Салат с фасолью;белая консервированная фасоль, огурцы, красный лук, помидоры черри, оливки каламата, петрушка, оливковое масло, чеснок, лимон, соль, сахар, молотый черный перец, сыр фета;Салаты;Средиземноморская кухня;https://eda.ru/recepty/salaty/salat-s-fasolyu-151487
Салат из обжаренных помидоров с йогуртом;помидоры, смесь салатных листьев, чеснок, натуральный йогурт, оливковое масло, соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-iz-obzharennyh-pomidorov-s-yogurtom-93024
Салат «Панцанелла»;помидоры, французский багет, репчатый лук, зеленый салат, оливковое масло, винный уксус, листья базилика, соль, молотый черный перец;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-pancanella-24450
Салат с утиной грудкой, рукколой и клюквенным соусом;утиная грудка с кожей, апельсины, клюква, сахар, корица, анис (бадьян), сливочное масло, оливковое масло, тимьян, мед, рисовый уксус, пряная рукола «белая дача», кедровые орехи, соль, молотый черный перец;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-s-utinoy-grudkoy-rukkoloy-i-klyukvennym-sousom-114447
Салат «Сладкий, Роман»;морковь, яблоко, грецкие орехи, изюм, сметана, сахар;Салаты;Пошаговые рецепты;https://eda.ru/recepty/salaty/salat-sladkiy-roman-126312
Теплый салат с курицей и шпинатом;шпинат, куриное филе, белый хлеб, кедровые орехи, чеснок, оливковое масло, соль, свежий перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/teplij-salat-s-kuricej-shpinatom-31058
Теплый салат с картофелем и осьминогом;стебель сельдерея с листьями, щупальце осьминога, морковь, репчатый лук, лимон, молодой картофель, оливки, вяленые помидоры, помидоры черри, чеснок, каперсы, рукола, петрушка, листья базилика, белое сухое вино, оливковое масло, лавровый лист, соль, молотый черный перец;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/teplij-salat-s-kartofelem-osminogom-30370
Салат с фасолью;белая консервированная фасоль, огурцы, красный лук, помидоры черри, оливки каламата, петрушка, оливковое масло, чеснок, лимон, соль, сахар, молотый черный перец, сыр фета;Салаты;Средиземноморская кухня;https://eda.ru/recepty/salaty/salat-s-fasolyu-151487
Салат с редиской;редис, огурцы, куриное яйцо, укроп, зеленый лук, жирная сметана, соль, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-s-rediskoy-140860
Салат «Панцанелла»;помидоры, французский багет, репчатый лук, зеленый салат, оливковое масло, винный уксус, листья базилика, соль, молотый черный перец;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-pancanella-24450
Зеленый салат с соусом шисо;шпинат, салат пак-чой, салат романо, латук, огурцы, цветная капуста, семена чиа, гранола, авокадо, укроп, зеленый лук, оливковое масло extra virgin, растительное масло, соус шисо, лимонный сок;Салаты;Китайская кухня;https://eda.ru/recepty/salaty/zelenyy-salat-s-sousom-shiso-69073
